Item Code | Item Name
----------|----------
01 | ಅಕ್ಕಿ (Rice)
02 | ಗೋಧಿ ಕಡಿ (Wheat Rava)
03 | ಅವಲಕ್ಕಿ (Avalakki)
04 | ತೊಗರಿ ಬೇಳೆ (Toor Dal)
05 | ಉದ್ದಿನ ಬೇಳೆ (Urad Dal)
06 | ಕಡಲೆ ಬೇಳೆ (Chana Dal)
07 | ಟೊಮೇಟೊ (Tomato)
08 | ಆಲೂಗಡ್ಡೆ (Potato)
10 | ಬೀನ್ಸ್ (Beans)
11 | ಸೌತೆಕಾಯಿ (Cucumber)
12 | ಹಸಿಮೆಣಸಿನಕಾಯಿ (Green Chilli)
13 | ಕುಂಬಳಕಾಯಿ (Pumpkin)
14 | ಜೀರಿಗೆ (Jeera)
15 | ಸಾಸಿವೆ (Mustard)
16 | ಅರಿಶಿಣ ಪುಡಿ (Turmeric Powder)
17 | ಕೆಂಪು ಮೆಣಸಿನಕಾಯಿ (Red Chilly)
18 | ಧನಿಯಾ (Coriander Seeds)
19 | ಏಲಕ್ಕಿ (Cardamom)
20 | ಲವಂಗ (Cloves)
21 | ಮೆಂತೆ (Methi)
22 | ಹಿಂಗು (Hing)
23 | ಒಣಮೆಣಸು (Dry Chilli)
24 | ಶುಂಠಿ (Ginger)
25 | ಮೆಣಸು (Pepper)
26 | ಅಡುಗೆ ಎಣ್ಣೆ (Cooking Oil)
27 | ತುಪ್ಪ (Ghee)
28 | ಸಕ್ಕರೆ (Sugar)
29 | ಬೆಲ್ಲ (Jaggery)
30 | ತೆಂಗಿನಕಾಯಿ (Coconut)
31 | ಬಾಳೆಹಣ್ಣು (Banana)
32 | ಹಾಲು (Milk)
33 | ಮೊಸರು (Curd)
34 | ಹುಣಸೆ ಹಣ್ಣು (Tamarind)
35 | ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು (Coriander Leaves)
36 | ಕರಿಬೇವು (Curry Leaves)
37 | ಚಹಾ ಪುಡಿ (Tea Powder)
38 | ಕಾಫಿ ಪುಡಿ (Coffee Powder)
39 | ಉಪ್ಪು (Salt)
42 | ಸೌದೆ ಕಟ್ಟಿಗೆ (Firewood)
43 | ಗ್ಯಾಸ್ (Gas)
